slice	metric	high_mean	low_mean	high_median	low_median	n_high	n_low	U	p
ALL	SOX9 expression	-0.06328995865007093	0.021093978866894115	-0.669028621144118	-0.669028621144118	5259	15779	39021404.0	4.375112516135802e-14
ALL	BILIARY_id score	-0.16416340638686305	0.054714199517619196	-0.36779938322229644	-0.08319806364492084	5259	15779	33792961.0	1.4147302931571294e-90
ALL	%SOX9-high (top quartile)	22.837041262597452	25.72406362887382			5259	15779		
ALL	%KRT19+	21.391899600684543	38.22168705241143			5259	15779		
ALL	%KRT7+	41.49077771439437	53.74231573610495			5259	15779		
ALL	%EPCAM+	29.035938391329154	42.4551619240763			5259	15779		
Normal	SOX9 expression	0.09844577616011448	0.17002403658832604	-0.669028621144118	-0.669028621144118	3592	9577	16289905.5	2.394364212009614e-07
Normal	BILIARY_id score	-0.031109436814963084	0.23297146692052578	-0.2369220175620408	0.2651845001995365	3592	9577	13498127.0	6.16705509862326e-81
Normal	%SOX9-high (top quartile)	24.443207126948774	25.206223243186805			3592	9577		
Normal	%KRT19+	25.807349665924278	46.496815286624205			3592	9577		
Normal	%KRT7+	44.042316258351896	59.44450245379556			3592	9577		
Normal	%EPCAM+	35.634743875278396	51.9578155998747			3592	9577		
PSC	SOX9 expression	-0.5393257601599504	-0.4540217707732448	-0.669028621144118	-0.669028621144118	1047	3045	1498630.5	1.38932314671365e-07
PSC	BILIARY_id score	-0.528862722732927	-0.4437530648679863	-0.5659815738956315	-0.5171432516599979	1047	3045	1457765.0	3.579442349223713e-05
PSC	%SOX9-high (top quartile)	6.685768863419293	12.873563218390805			1047	3045		
PSC	%KRT19+	9.64660936007641	16.748768472906402			1047	3045		
PSC	%KRT7+	33.14231136580707	37.76683087027914			1047	3045		
PSC	%EPCAM+	9.64660936007641	15.238095238095239			1047	3045		
