claim	with_value	without_value	verdict
PROX1+ abundance PSC vs normal	0.3415583810674595	0.15723808014206064	n.s. either way
PROX1+ abundance vs IAD score across donors	0.23080685891571429	0.2783239236369736	SURVIVES (same sign)
per-cell ρ(PROX1,SOX9) ALL	0.060890572767582	0.022258452834476136	SAME SIGN, smaller
per-cell ρ(PROX1,SOX9) Normal	0.03953876337561176	0.04497401725825782	SAME SIGN, smaller
per-cell ρ(PROX1,SOX9) PSC	0.01740687245205274	-0.015728811430300266	FLIPS SIGN
donor ρ(mean PROX1, mean SOX9) ALL	-0.003543098889476467	0.031168831168831176	FLIPS SIGN
donor ρ(mean PROX1, mean SOX9) Normal	0.054686398872445384	0.06384778012684988	SAME SIGN, smaller
donor ρ(mean PROX1, mean SOX9) PSC	-0.8333333333333335		indeterminate
PROX1-high vs low SOX9 sign (ALL)	-0.08438393751696502	-0.11695284328773564	SAME SIGN
PROX1-high vs low BILIARY_id sign (ALL)	-0.21887760590448224	-0.2858708288066699	SAME SIGN
PROX1-high vs low SOX9 sign (Normal)	-0.0715782604282116	-0.06541916872301967	SAME SIGN
PROX1-high vs low BILIARY_id sign (Normal)	-0.26408090373548887	-0.2683485855801191	SAME SIGN
PROX1-high vs low SOX9 sign (PSC)	-0.08530398938670558		indeterminate
PROX1-high vs low BILIARY_id sign (PSC)	-0.08510965786494068		indeterminate
