pathway	n_donors	mean_delta	median_delta	frac_pos_donors	frac_neg_donors	t_stat	p	rank	q_BH	category
il6_signalling	7	-0.2570397499482029	-0.07984772419662559	0.2857142857142857	0.7142857142857143	-1.2408594702861415	0.2609726963902081	3	1.0	B_gained_in_SOX9low
oxidative_stress	7	-0.22437914039895648	-0.09216532520873072	0.14285714285714285	0.8571428571428571	-2.0690301906580673	0.08400009526709235	1	1.0	B_gained_in_SOX9low
inflammation_general	7	-0.11834485747475687	0.06571664626328198	0.8571428571428571	0.14285714285714285	-0.38849946895559323	0.7110576724975558	9	1.0	ambiguous
bmp_signalling	7	-0.08253334332473394	-0.03049478178387076	0.42857142857142855	0.5714285714285714	-0.8581633243838465	0.42375216361815937	5	1.0	ambiguous
tnf_signalling	7	-0.04135397973246745	0.19692659550190164	0.8571428571428571	0.14285714285714285	-0.14867786186604517	0.8866789685448649	16	1.0	ambiguous
er_stress_upr	7	-0.04060744098801077	0.006597624646070055	0.7142857142857143	0.2857142857142857	-0.24254437493201472	0.816436592534423	13	1.0	ambiguous
cholangiocyte_function	7	-0.033776777831918535	0.0044636812626031724	0.5714285714285714	0.42857142857142855	-0.37508365535097654	0.7204994409790856	10	1.0	ambiguous
fibrosis_program	7	-0.022016025025805182	-0.027684365908901352	0.2857142857142857	0.7142857142857143	-0.37092136794143743	0.7234398834223642	12	1.0	ambiguous
emt	7	-0.012140057477177427	0.059630987565592604	0.5714285714285714	0.42857142857142855	-0.08605325858073484	0.9342238846803456	17	1.0	ambiguous
notch_targets	7	-0.007997212511634938	-0.017138400659244962	0.2857142857142857	0.7142857142857143	-0.2235624265942384	0.830515262032377	14	1.0	ambiguous
progenitor_TFs	7	-0.006194109905971179	-0.0015164222818827705	0.42857142857142855	0.5714285714285714	-0.2103133728307012	0.8403833037788042	15	1.0	ambiguous
bile_acid_stress	7	-0.005082960932572487	0.03875777924209925	0.7142857142857143	0.2857142857142857	-0.07990908120712363	0.9389081894912397	18	0.9910697555740864	ambiguous
tgfb_signalling	7	-0.0013164001934014926	0.06778050462107191	0.5714285714285714	0.42857142857142855	-0.01338421126014143	0.9897552042854345	19	0.9897552042854345	ambiguous
wnt_signalling	7	0.016160792066899955	0.04997557494350667	0.5714285714285714	0.42857142857142855	0.37211343142361897	0.7225972201719035	11	1.0	ambiguous
notch_signalling	7	0.029591866574288382	-0.00041176065252576666	0.42857142857142855	0.5714285714285714	0.684921984974218	0.5189620279516673	7	1.0	ambiguous
yap_taz_targets	7	0.08350244211690015	0.08918054875269021	0.7142857142857143	0.2857142857142857	1.3853785094539866	0.2152405320120483	2	1.0	A_lost_in_SOX9low
senescence	7	0.08683587664926787	0.17508329357801222	0.8571428571428571	0.14285714285714285	0.6388970671732436	0.546489996281261	8	1.0	A_lost_in_SOX9low
biliary_identity	7	0.1087876272401461	0.21592374126639732	0.8571428571428571	0.14285714285714285	0.9290641328890988	0.3887047873830929	4	1.0	A_lost_in_SOX9low
ifn_signalling	7	0.21607033810149115	0.13403543605229773	0.7142857142857143	0.2857142857142857	0.7389947706317403	0.48780106622274166	6	1.0	A_lost_in_SOX9low
