pathway	n_donors	mean_rho_per_cell	median_rho	min_rho	max_rho	frac_pos_donors	frac_neg_donors	t_stat	p	rank	q_BH	category
oxidative_stress	8	-0.1198194868171577	-0.08251752595300879	-0.3337777927084694	-0.000970080742312515	0.0	0.5	-2.7070851961463744	0.030326582752793863	6	0.09603417871718056	ambiguous
cholangiocyte_function	8	-0.044284106337074094	-0.024012784528617263	-0.41627299964504255	0.27571579498852045	0.25	0.375	-0.5996628674193063	0.5676259241944823	14	0.7703494685496546	ambiguous
bile_acid_stress	8	-0.04208061527536446	-0.0007850874609589371	-0.3064337437325316	0.03697195714843471	0.0	0.25	-1.0477013432149889	0.32959795409786685	10	0.626236112785947	ambiguous
progenitor_TFs	8	-0.008124731459154686	-0.017275878217813814	-0.0781969837591317	0.14737273940746035	0.125	0.375	-0.31616081206589747	0.7610992475909968	16	0.9038053565143087	ambiguous
notch_targets	8	0.005512319832805241	-0.003976493447493978	-0.09671673152610666	0.09287237275725833	0.375	0.125	0.2539489595586039	0.8068328157610396	18	0.8516568610810974	ambiguous
er_stress_upr	8	0.010120181566060815	0.03225267339391988	-0.1658587179816777	0.28165417242633994	0.375	0.375	0.1976653247056609	0.8489243669911207	19	0.8489243669911207	ambiguous
tgfb_signalling	8	0.014570916822751523	0.05291009071136162	-0.3309049151642903	0.12204752108210064	0.5	0.125	0.2833871306648278	0.7850780557451813	17	0.8774401799504967	ambiguous
notch_signalling	8	0.01775532563990308	0.024289033850373606	-0.07171186115632926	0.10583421033460366	0.375	0.25	0.7277265027577375	0.49040010778495763	13	0.7167386190703227	ambiguous
il6_signalling	8	0.017807707092556704	0.04458537519427572	-0.16633215122553105	0.13186283168729654	0.375	0.25	0.4951805672833763	0.6356363207099516	15	0.8051393395659386	ambiguous
wnt_signalling	8	0.03714085851080575	-0.0006431095004681203	-0.12615384921685716	0.32548085902177726	0.375	0.125	0.7977768026899524	0.4512101851059967	12	0.7144161264178281	ambiguous
emt	8	0.040750388861324136	0.08463243581737237	-0.1887229546392623	0.22045831362168555	0.625	0.25	0.8480452870259447	0.4244582051429376	11	0.7331550816105286	ambiguous
bmp_signalling	8	0.06352046698214668	0.06478444794197263	-0.014739493657240569	0.16557968491999178	0.625	0.0	2.8046689809019645	0.026346901331199147	5	0.10011822505855676	ambiguous
yap_taz_targets	8	0.06369231753247598	0.02963137344577293	-0.17471359425468552	0.31444203434082796	0.375	0.125	1.156373071110092	0.28546452661356425	9	0.6026473339619689	ambiguous
fibrosis_program	8	0.09168981809412316	0.04491286308274951	-0.06713329061163145	0.49970820584301084	0.5	0.125	1.4514275441636237	0.18995671926817492	8	0.45114720826191546	ambiguous
ifn_signalling	8	0.11728164482962763	0.06433388271942092	-0.1422815973416425	0.5902819237222273	0.5	0.125	1.494500267898642	0.17869227617456018	7	0.48502189247380617	ambiguous
inflammation_general	8	0.13782720988156794	0.1335872011803324	0.00826833214672583	0.31079909178726733	0.625	0.0	3.359416241480774	0.012093972742325286	3	0.07659516070139348	ambiguous
senescence	8	0.14535771290977745	0.11672922204875542	0.015333495139159799	0.40471702008538096	0.625	0.0	2.9293136860652655	0.022045799602194206	4	0.10471754811042247	ambiguous
tnf_signalling	8	0.16724703904512142	0.1907270348476161	-0.007639643942517111	0.34560998190430336	0.625	0.0	3.4103877943995116	0.011281872007065406	2	0.10717778406712135	ambiguous
biliary_identity	8	0.26650598707105644	0.25423886873079815	0.11488123060762444	0.4286380089868732	1.0	0.0	7.9503776684504075	9.484138901665225e-05	1	0.0018019863913163927	A_tracks_SOX9_positively
