pathway	threshold	mean_delta	p	q_BH
oxidative_stress	tertile_33_67	-0.22437914039895648	0.08400009526709235	1.0
yap_taz_targets	tertile_33_67	0.08350244211690015	0.2152405320120483	1.0
il6_signalling	tertile_33_67	-0.2570397499482029	0.2609726963902081	1.0
biliary_identity	tertile_33_67	0.1087876272401461	0.3887047873830929	1.0
bmp_signalling	tertile_33_67	-0.08253334332473394	0.42375216361815937	1.0
ifn_signalling	tertile_33_67	0.21607033810149115	0.48780106622274166	1.0
notch_signalling	tertile_33_67	0.029591866574288382	0.5189620279516673	1.0
senescence	tertile_33_67	0.08683587664926787	0.546489996281261	1.0
inflammation_general	tertile_33_67	-0.11834485747475687	0.7110576724975558	1.0
cholangiocyte_function	tertile_33_67	-0.033776777831918535	0.7204994409790856	1.0
wnt_signalling	tertile_33_67	0.016160792066899955	0.7225972201719035	1.0
fibrosis_program	tertile_33_67	-0.022016025025805182	0.7234398834223642	1.0
er_stress_upr	tertile_33_67	-0.04060744098801077	0.816436592534423	1.0
notch_targets	tertile_33_67	-0.007997212511634938	0.830515262032377	1.0
progenitor_TFs	tertile_33_67	-0.006194109905971179	0.8403833037788042	1.0
tnf_signalling	tertile_33_67	-0.04135397973246745	0.8866789685448649	1.0
emt	tertile_33_67	-0.012140057477177427	0.9342238846803456	1.0
bile_acid_stress	tertile_33_67	-0.005082960932572487	0.9389081894912397	0.9910697555740864
tgfb_signalling	tertile_33_67	-0.0013164001934014926	0.9897552042854345	0.9897552042854345
oxidative_stress	quartile_25_75	-0.1837526994832499	0.28534539922466934	1.0
il6_signalling	quartile_25_75	-0.2567373701469091	0.3173405132702718	1.0
biliary_identity	quartile_25_75	0.13399671672212451	0.32419754069054235	1.0
yap_taz_targets	quartile_25_75	0.0770395313746084	0.3357331936955589	1.0
bile_acid_stress	quartile_25_75	-0.1297651658402062	0.35968545322094075	1.0
fibrosis_program	quartile_25_75	-0.0657853817891267	0.40934772564562233	1.0
bmp_signalling	quartile_25_75	-0.10596700706432172	0.43999313012948454	1.0
notch_signalling	quartile_25_75	0.046436965853288714	0.47782369151424114	1.0
er_stress_upr	quartile_25_75	-0.1419732892589266	0.5297850832486405	1.0
inflammation_general	quartile_25_75	-0.20534553299535538	0.5889608168173057	1.0
notch_targets	quartile_25_75	0.014933030856499151	0.6159663050373073	1.0
senescence	quartile_25_75	0.07103205643376878	0.6471255879584072	1.0
wnt_signalling	quartile_25_75	0.022003068642492612	0.6856985727622721	1.0
emt	quartile_25_75	-0.04691446811570107	0.7652830178342285	1.0
tnf_signalling	quartile_25_75	-0.06779126816117148	0.8475046907993615	1.0
cholangiocyte_function	quartile_25_75	-0.017151900219839835	0.8582075977478937	1.0
ifn_signalling	quartile_25_75	0.04677874398040325	0.9135698458029938	1.0
tgfb_signalling	quartile_25_75	0.007527632836427323	0.9467203904107577	0.9993159676557999
progenitor_TFs	quartile_25_75	-0.0016847905967344614	0.955508262783723	0.9555082627837229
wnt_signalling	quintile_20_80	0.05414950691489722	0.22205613564482107	1.0
biliary_identity	quintile_20_80	0.15536193932711634	0.22402324329095652	1.0
il6_signalling	quintile_20_80	-0.28130953955537813	0.3103270706156731	1.0
oxidative_stress	quintile_20_80	-0.18769885285364526	0.33228566011518695	1.0
notch_signalling	quintile_20_80	0.043493599842043866	0.35307928594573873	1.0
bile_acid_stress	quintile_20_80	-0.12895134130130187	0.3918057900924662	1.0
fibrosis_program	quintile_20_80	-0.08705670596440472	0.4201521308100471	1.0
bmp_signalling	quintile_20_80	-0.11393740020539685	0.4504745711518106	1.0
yap_taz_targets	quintile_20_80	0.054453484936847124	0.5005968336645917	1.0
er_stress_upr	quintile_20_80	-0.15638892783187078	0.5814310149381821	1.0
inflammation_general	quintile_20_80	-0.1881699309477789	0.5996713567850379	1.0
emt	quintile_20_80	-0.07183746249087554	0.6734547080510636	1.0
senescence	quintile_20_80	0.07010649257768327	0.6760738002111377	0.9881078618470475
progenitor_TFs	quintile_20_80	0.009090279905880879	0.7149666425037589	0.9703118719693871
notch_targets	quintile_20_80	0.010337112751035217	0.8318174985848005	1.0
ifn_signalling	quintile_20_80	0.05438040541419075	0.9042288499635617	1.0
cholangiocyte_function	quintile_20_80	-0.009987388870315264	0.9200607483884364	1.0
tnf_signalling	quintile_20_80	-0.03243315044625267	0.9214176719664944	0.9726075426312997
tgfb_signalling	quintile_20_80	0.0028027663786934173	0.9827609948501859	0.982760994850186
