claim	snRNA	scRNA	verdict
PROX1+ % (loose)	38.84430176565008	48.14945364821995	sn − sc = -9.3 pp
PROX1+ abundance vs donor IAD ρ	-0.3239516949938394	0.2783239236369736	DISCORDANT (likely tech)
SOX9 vs IAD (cell ρ)	-0.06020852709289018	-0.43611446305292517	CONCORDANT (biology)
cell ρ(PROX1, SOX9) ALL	0.07504284769682219	0.022258452834476136	same sign, small
cell ρ(PROX1, SOX9) Normal	0.08402651729621403	0.04497401725825782	same sign, small
cell ρ(PROX1, SOX9) PSC	0.020731637033115615	-0.015728811430300266	DISCORDANT (likely tech)
donor ρ(PROX1, SOX9) ALL	0.4825174825174825	0.031168831168831176	same sign, small
donor ρ(PROX1, SOX9) Normal		0.06384778012684988	indeterminate
donor ρ(PROX1, SOX9) PSC	-0.39285714285714296		indeterminate
PROX1-high SOX9 Δ (ALL)	0.03279194988169476	-0.11493327210726553	DISCORDANT (likely tech)
PROX1-high BIL_id Δ (ALL)	-0.0311399699634603	-0.2807213375057924	same sign, small
PROX1-high SOX9 Δ (Normal)	0.03422778915506802	-0.06425193247258826	DISCORDANT (likely tech)
PROX1-high BIL_id Δ (Normal)	-0.007371286061032767	-0.26317221741829405	same sign, small
PROX1-high SOX9 Δ (PSC)	0.002387889227972839		indeterminate
PROX1-high BIL_id Δ (PSC)	-0.007139707633862291		indeterminate
